a:3:{s:7:"user_id";i:5;s:15:"seminar_date_id";i:1;s:9:"timestamp";s:19:"2025-12-12 10:08:04";}
a:3:{s:7:"user_id";i:4;s:10:"seminar_id";i:1;s:9:"timestamp";s:19:"2026-01-05 18:26:57";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:3;s:9:"timestamp";s:19:"2026-01-08 14:06:29";}
a:3:{s:7:"user_id";i:1;s:10:"seminar_id";i:3;s:9:"timestamp";s:19:"2026-01-14 14:21:37";}
a:3:{s:7:"user_id";i:1;s:10:"seminar_id";i:6;s:9:"timestamp";s:19:"2026-01-14 14:22:35";}
a:3:{s:7:"user_id";i:1;s:10:"seminar_id";i:2;s:9:"timestamp";s:19:"2026-01-14 14:23:02";}
a:3:{s:7:"user_id";i:1;s:10:"seminar_id";i:7;s:9:"timestamp";s:19:"2026-01-14 14:23:26";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:10;s:9:"timestamp";s:19:"2026-01-16 08:07:21";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:9;s:9:"timestamp";s:19:"2026-01-16 08:18:22";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:5;s:9:"timestamp";s:19:"2026-01-16 08:26:39";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:6;s:9:"timestamp";s:19:"2026-01-16 08:30:09";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:2;s:9:"timestamp";s:19:"2026-01-16 08:30:51";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:5;s:9:"timestamp";s:19:"2026-01-16 08:48:25";}
a:3:{s:7:"user_id";i:13;s:10:"seminar_id";i:5;s:9:"timestamp";s:19:"2026-01-16 08:50:31";}
